Date,Title,Creator,Views
"Oct 30, 2024",Semua Tentangmu,Vierra - Topic,1M views
"Oct 30, 2024",Terlalu Lama,Vierra - Topic,10M views
"Oct 30, 2024",Vierra - Kesepian (Official Music Video),Musica Studios,28M views
"Oct 30, 2024",Vierra - Rasa Ini (Official Music Video),Musica Studios,44M views
"Oct 30, 2024",Vierra - Seandainya (Official Music Video),Musica Studios,86M views
"Oct 30, 2024",Vierra - Terlalu Lama (Official Music Video),Musica Studios,26M views
"Oct 30, 2024",Vierra - Bersamamu (Official Music Video),Musica Studios,15M views
"Oct 30, 2024",Vierra - Full Album [SMA] Terbaik & Terpopuler,Think,3.3M views
"Oct 29, 2024",Excel Mangare - One Direction Medley (Drum Cover),mangareexcel,148K views
"Oct 29, 2024","""Perfect"" - One Direction - Drum Cover",Riley Sobering Drumming,188K views
"Oct 29, 2024",Bryan Davis - Perfect (One Direction),Davis's Life,70K views
"Oct 29, 2024",One Direction - Perfect (Drum Cover),Ayush Soloist,54K views
"Oct 29, 2024",One Direction - Perfect (Drum Cover) - 1080p HD,alexr3,665K views
"Oct 26, 2024",1 2 Business Analysis Body of Knowledge BABOK,Kridanto Surendro,264 views
"Oct 26, 2024",Pengantar Business Analysis Body of Knowledge - BABOK,Kridanto Surendro,523 views
"Oct 16, 2024",PEMSIS : Materi 2.2 Klasifikasi Model,Pojok Teknik Industri,1K views
"Oct 10, 2024",Beyond Classical Search: Genetic Algorithm,Masayu Leylia Khodra,1.4K views
"Oct 10, 2024",Beyond Classical Search: Hill-climbing Search,Masayu Leylia Khodra,1.8K views
"Oct 10, 2024",Minimax e Poda Alfa-Beta,Eduardo Beckemkamp,51K views
"Oct 10, 2024",Alpha Beta Pruning - Kelompok 2,sikah n.,17 views
"Oct 10, 2024",Penjelasan Algoritma Minimax dengan Alpha Beta Pruning,Andre Pratama,2K views
"Oct 10, 2024",Penjelasan & Perbedaan Algoritma Minimax dengan Alpha Beta Pruning,Mahendra Putra,1.4K views
"Oct 9, 2024",Beyond Classical Search: Genetic Algorithm,Masayu Leylia Khodra,1.4K views
"Oct 9, 2024",Beyond Classical Search: Simulated Annealing,Masayu Leylia Khodra,1.4K views
"Oct 9, 2024",Beyond Classical Search: Hill-climbing Search,Masayu Leylia Khodra,1.8K views
"Oct 9, 2024","Beyond Classical Search: State (Value, Neighbor)",Masayu Leylia Khodra,1K views
"Oct 9, 2024",Beyond Classical Search: Classical vs Local Search,Masayu Leylia Khodra,1.3K views
"Sep 30, 2024",05 - Problem Solving by Local Search,Komputasi Statistik,689 views
"Sep 30, 2024","Linear Programming (intro -- defining variables, constraints, objective function)",MATHfisch,251K views
"Sep 30, 2024",Linear Programming (Optimization) 2 Examples Minimize & Maximize,Mario's Math Tutoring,699K views
"Sep 30, 2024",01 - Pengenalan Kecerdasan Artifisial,Komputasi Statistik,1K views
"Sep 30, 2024",Belajar Local Search Algorithm Hanya dalam 20 Menit Bersama Kami,Ilham Safaat,127 views
"Sep 30, 2024",Local Search Algorithms and Optimization Problems-Artificial Intelligence-Beyond Classical Search,D Sumathi,82K views
"Sep 30, 2024",[PLI] Algoritma Tabu Search,Pratiwi,2.7K views
"Sep 10, 2024",Community and Sense of Belonging | Rita Buehring | TEDxUWE,TEDx Talks,8.1K views
"Aug 27, 2024",BUKAN ORANG SEMBARANGAN ‼️ INILAH 9 TANDA ATAU CIRI ORANG YANG DIDAMPINGI KHODAM MACAN PUTIH,KANG MAS YUDISTIRA,671K views
"Aug 27, 2024",Program Persiapan Karir GRATIS untuk MAHASISWA 🔥 | Bangkit 2023 - Batch 2,Web Programming UNPAS,17K views
"Jun 5, 2024",VINA: SEBELUM 7 HARI - OFFICIAL TRAILER | 8 MEI 2024,Dee Company,7.3M views
"May 3, 2024",Cara Ngeping Pada Aplikasi Cisco Packet Tracer,wawan 1190,11 views
"May 3, 2024",Konfigurasi Routing Static,Syamsu Hidayat,45K views
"May 3, 2024",Konfigurasi Routing (Static Routing) di Cisco Packet Tracer,Share Things,244K views
"May 3, 2024",Topologi Jaringan Menghubungkan 2 Router 2 Switch dan 4 PC Packet Tracer,Winda Wulandari,89K views
"May 3, 2024",Cara Membuat Topologi Jaringan Sederhana Menggunakan IP Static di Cisco Packet Tracer,Adi saputra IT,40K views
"Apr 26, 2024",Create -a-2D- Car-Racing-Game -Java - GUI - Java Swing - Game Projects - Car Game - Project - Part 1,AR Technique's,28K views
"Apr 26, 2024",Cara Custom Map Di Minecraft Java Edition,Grilimana,14K views
"Apr 24, 2024",Video Penjelasan Milestone 03 Tugas Besar II2220 MSDSTI 2023/2024,075_Muhamad Pedro,96 views
"Mar 27, 2024",STATIC ROUTING CISCO dan Cara Membuat Soal PKA Cisco,Wawan Aris Prasetyo,3.8K views
"Mar 27, 2024",Pembuatan Tabel Routing untuk Routing Statis,Tutor Kampung ITNSA,6.3K views
"Mar 27, 2024",Belajar Java [OOP] - 14 - Static atau Class Methods,Kelas Terbuka,17K views
"Mar 27, 2024",Belajar Java [OOP] - 13 - Static atau Class Attributes,Kelas Terbuka,17K views
"Mar 19, 2024",Penjelasan Pengerjaan Milestone 01 Tugas Besar II2220 MSDSTI 2023/2024,karinarawr,129 views
"Mar 18, 2024",Belajar Java [OOP] - 36 - Latihan Interface,Kelas Terbuka,4.4K views
"Mar 18, 2024",Belajar Java [OOP] - 35 - Interface VS Abstract,Kelas Terbuka,4.1K views
"Mar 18, 2024",Belajar Java [OOP] - 34 - Interface,Kelas Terbuka,6K views
"Mar 18, 2024",Belajar Java [OOP] - 26 - Abstract Class,Kelas Terbuka,17K views
"Mar 18, 2024","Belajar Java [OOP] - 24 - Final, Public, Private keyword (Inheritance)",Kelas Terbuka,15K views
"Mar 17, 2024",Belajar Java [OOP] - 23 - Polymorphism,Kelas Terbuka,32K views
"Mar 15, 2024",Advanced MySQL Tutorial #3 | Unique Index,Pojok Code,874 views
"Mar 15, 2024","Advanced MySQL Tutorial #2 | Show Index, Drop Index dan Explain",Pojok Code,1.4K views
"Mar 14, 2024",Belajar Java [OOP] - 23 - Polymorphism,Kelas Terbuka,32K views
"Mar 14, 2024",SQL Lanjutan : 05. Optimasi Database SQL Dengan INDEX,Coding Aja Dulu,4.4K views
"Mar 14, 2024",Advanced MySQL Tutorial #1 | Bagaimana Index Bekerja Pada MySQL?,Pojok Code,8.5K views
"Mar 14, 2024",Kenapa Index Bisa Mempercepat Query Database?,Programmer Zaman Now,28K views
"Mar 12, 2024",7 Macam Alat Permainan Edukatif (APE) dari Barang Bekas untuk PAUD/TK,Siti Alifah Faiz,350K views
"Dec 12, 2023",Relational DB Design: Overall Database Design Process,Tricya Widagdo,1K views
"Dec 12, 2023",Relational DB Design: Algorithm for Decomposition using FDs pt.2 (3NF),Tricya Widagdo,1.1K views
"Dec 12, 2023",Relational DB Design: Dependency Preservation,Tricya Widagdo,1.3K views
"Dec 12, 2023",Relational DB Design: Normalization Theory & Functional Dependency pt.1,Tricya Widagdo,2.5K views
"Dec 12, 2023",Reduction E-R Model to Relational Schema - Extended Feature,Latifa Dwiyanti,1.3K views
"Dec 12, 2023",Reducing E-R Diagrams to Relational Schemas - Latihan Soal,Latifa Dwiyanti,1.5K views
"Dec 12, 2023","START UP (funny scene) - Introducing Samsan Tech CEO, Nam Do San",SolJae,222K views
"Dec 12, 2023",Start-Up | All Business Presentation Scenes |,Kscoop,126K views
"Dec 12, 2023",G-CON 2019 รอบ Final Pitching ภายในงาน Startup Thailand [Part 1],SKP GISTDA,10K views
"Dec 11, 2023",Start-Up | All Business Presentation Scenes |,Kscoop,126K views
"Dec 11, 2023",Reducing E-R Diagrams to Relational Schemas - Latihan Soal,Latifa Dwiyanti,1.5K views
"Dec 11, 2023",Reducing E-R Diagrams to Relational Schemas - Relationship Set,Latifa Dwiyanti,1.3K views
"Dec 11, 2023",Relational DB Design: Algorithm for Decomposition using FDs pt.2 (3NF),Tricya Widagdo,1.1K views
"Dec 11, 2023",Reducing E-R Diagrams to Relational Schemas - Entity & Attributes,Latifa Dwiyanti,1.5K views
"Dec 10, 2023",Organization Theory and Design - Chapter 5 - Part 1 - Organization effectiveness,Dr. Sharaf Alkibsi,7.5K views
"Dec 10, 2023","Uji Chi-square untuk Independensi, Homogenitas dan Proporsi Lebih dari Dua Populasi",Key_ Statistics,1.1K views
"Dec 10, 2023",Homogeneity Test uses SPSS,Akhmad Rozali,386K views
"Dec 10, 2023","STATISTIKA - Apa Itu Uji Normalitas, Uji Homogenitas dan Uji Liniertitas?",Time 2 Study,33K views
"Dec 10, 2023",Uji F dengan menggunakan Ms Excel (Uji Homogenitas),Be Math 45z,36K views
"Dec 9, 2023","Analisis Data Kategorik: Uji Kebebasan Chi-Square dengan Ms.Excel, SPSS, dan Rstudio",Statistik Inferensial,1.4K views
"Dec 9, 2023",Contoh Kasus Uji Independensi dengan Uji Chi Square,Hilman Dwi Anggana,4.4K views
"Dec 9, 2023",Uji Chi-Square di microsoft excel,Hanifah Official,49K views
"Dec 4, 2023",10-memory 1. Storage Technologies,Rahmat Mulyawan,556 views
"Dec 4, 2023",10-memory 2. Caching in The Memory Hierarchy,Rahmat Mulyawan,487 views
"Dec 3, 2023",Kubernetes 101 workshop - complete hands-on,Kubesimplify,1.7M views
"Dec 3, 2023",10-memory 2. Caching in The Memory Hierarchy,Rahmat Mulyawan,487 views
"Dec 3, 2023",10-memory 1. Storage Technologies,Rahmat Mulyawan,556 views
"Dec 2, 2023",09-mp-advanced 2. Buffer Overflow,Rahmat Mulyawan,441 views
"Dec 2, 2023",09-mp-advanced 1. Memory Layout,Rahmat Mulyawan,455 views
"Dec 2, 2023",IF2140 - NoSQL part 13: Graph Database,tori bukit,240 views
"Dec 2, 2023",IF2140 - NoSQL part 12: Column-Family Store vs Relational Database,tori bukit,105 views
"Dec 2, 2023",IF2140 - NoSQL part 11: Column-Family Store Database,tori bukit,290 views
"Dec 2, 2023",IF2140 - NoSQL part 10: Document vs Relational Database,tori bukit,82 views
"Dec 2, 2023",IF2140 - NoSQL part 9: MongoDB,tori bukit,68 views
"Dec 2, 2023",IF2140 - NoSQL part 8 : Document Database,tori bukit,244 views
"Dec 2, 2023",IF2140 - NoSQL part 7: Key-Value vs Relational Database,tori bukit,103 views
"Dec 2, 2023",IF2140 - NoSQL part 6: Riak,tori bukit,98 views
"Dec 2, 2023",IF2140 - NoSQL part 5 : Key-Value Database,tori bukit,221 views
"Dec 2, 2023",IF2140 - NoSQL part 4: NoSQL vs SQL,tori bukit,110 views
"Dec 2, 2023",IF2140 - NoSQL part 3: Emerge of NoSQL,tori bukit,323 views
"Dec 2, 2023",IF2140 - NoSQL part 2 : Attack on Relational DB,tori bukit,329 views
"Dec 2, 2023",IF2140 - NoSQL part 1: Value of Relational DB,tori bukit,434 views
"Dec 1, 2023",Introduction to Data Warehouse & Multidimensional (3),Latifa Dwiyanti,157 views
"Dec 1, 2023",Introduction to Data Warehouse & Multidimensional (2),Latifa Dwiyanti,172 views
"Dec 1, 2023",Introduction to Data Warehouse & Multidimensional (1),Latifa Dwiyanti,183 views
"Nov 30, 2023",Introduction to Data Warehouse & Multidimensional (1),Latifa Dwiyanti,183 views
"Nov 29, 2023",Barcelona vs. FC Porto - Game Highlights,tod,936K views
"Nov 28, 2023",Introduction to Data Warehouse & Multidimensional (2),Latifa Dwiyanti,172 views
"Nov 28, 2023",Introduction to Data Warehouse & Multidimensional (1),Latifa Dwiyanti,183 views
"Nov 28, 2023",Relational DB Design: Overall Database Design Process,Tricya Widagdo,1K views
"Nov 26, 2023",The inverse of 3 modulo 7 is?,Anand Kaksha,13K views
"Nov 26, 2023",Ratu - Teman Tapi Mesra (Video Clip),ratuVEVO,85M views
"Nov 26, 2023",Derby - Gelora Asmara (Video Clip),sonymusicIDVEVO,22M views
"Nov 26, 2023",CAPPUCINO - PACAR RAHASIA (OFFICIAL MUSIC VIDEO) HIGH QUALITY AUDIO,CAPPUCINO OFFICIAL,3.7M views
"Nov 21, 2023",Integration by parts: Integral of cos x cosh x dx,Academic Videos (Solved Examples),2.5K views
"Nov 21, 2023",Metoda Variasi Parameter dan Persamaan Diferensial Orde 2,Bermatematika.com,15K views
"Nov 20, 2023",CAPPUCINO - PACAR RAHASIA (OFFICIAL MUSIC VIDEO) HIGH QUALITY AUDIO,CAPPUCINO OFFICIAL,3.7M views
"Nov 20, 2023",Diangkatnya sarutobi hiruzen oleh hokage kedua sebagai hokage,MONZAEMON,258K views
"Nov 19, 2023",Gol Pengubur Mimpi Italia,Ruang Taktik,1M views
"Nov 15, 2023",Relational DB Design: Normal Forms - 3NF vs BCNF,Tricya Widagdo,1.9K views
"Nov 15, 2023",Relational DB Design: Algorithm for Decomposition using FDs pt.2 (3NF),Tricya Widagdo,1.1K views
"Nov 15, 2023",Relational DB Design: Algorithm for Decomposition using FDs pt.1 (BCNF),Tricya Widagdo,1.5K views
"Nov 14, 2023",Relational DB Design: Algorithm for Decomposition using FDs pt.1 (BCNF),Tricya Widagdo,1.5K views
"Nov 14, 2023",Relational DB Design: Dependency Preservation,Tricya Widagdo,1.3K views
"Nov 14, 2023",Relational DB Design: Normal Forms -1NF 2NF BCNF,Tricya Widagdo,2.8K views
"Nov 14, 2023",Relational DB Design: Normal Forms - 3NF vs BCNF,Tricya Widagdo,1.9K views
"Nov 14, 2023",Relational DB Design: Attribute Closure,Tricya Widagdo,1.4K views
"Nov 14, 2023",Relational DB Design: Canonical Cover pt.1 (Extraneous Attributes),Tricya Widagdo,1.6K views
"Nov 14, 2023",Relational DB Design: Closure of FD Set,Tricya Widagdo,1.6K views
"Nov 14, 2023",Relational DB Design: Functional Dependency pt.2,Tricya Widagdo,2.2K views
"Nov 14, 2023",Relational DB Design: Normalization Theory & Functional Dependency pt.1,Tricya Widagdo,2.5K views
"Nov 14, 2023",Relational DB Design: Features of A Good Relational Design,Tricya Widagdo,3.9K views
"Nov 14, 2023",Reducing E-R Diagrams to Relational Schemas - Latihan Soal,Latifa Dwiyanti,1.5K views
"Nov 14, 2023",Reduction E-R Model to Relational Schema - Extended Feature,Latifa Dwiyanti,1.3K views
"Nov 14, 2023",Reducing E-R Diagrams to Relational Schemas - Relationship Set,Latifa Dwiyanti,1.3K views
"Nov 14, 2023",Reducing E-R Diagrams to Relational Schemas - Entity & Attributes,Latifa Dwiyanti,1.5K views
"Nov 14, 2023",Database Design using ER Model - Specialization & Generalization,Latifa Dwiyanti,1.2K views
"Nov 14, 2023",Database Design using E-R Model - Redundant Attributes,Latifa Dwiyanti,1.1K views
"Nov 14, 2023",Database Design using E-R Model - Weak Entity,Latifa Dwiyanti,1.5K views
"Nov 13, 2023",Barcelona 2-1 Alaves | LaLiga 23/24 Match Highlights,beIN SPORTS Indonesia,149K views
"Nov 10, 2023",Aura Kasih - Mari Bercinta (Lyric Video),Aura Kasih,41M views
"Nov 10, 2023",Lirik lagu Takut Jatuh Cinta || Blink,Salsa SF,2.4M views
"Nov 10, 2023",Ratu - Teman Tapi Mesra (Video Clip),ratuVEVO,85M views
"Nov 10, 2023",Ello - Masih Ada (Video Clip),sonymusicIDVEVO,72M views
"Nov 10, 2023",Panah Asmara,Afgan,37M views
"Nov 10, 2023",Yovie & Nuno - Merindu Lagi (Pada Kekasih Orang) (Video Clip),Yovie & Nuno,74M views
"Nov 10, 2023",Derby - Gelora Asmara (Video Clip),sonymusicIDVEVO,22M views
"Nov 10, 2023",Aura Kasih - Mari Bercinta (Lyric Video),Aura Kasih,41M views
"Nov 10, 2023",Lirik lagu Takut Jatuh Cinta || Blink,Salsa SF,2.4M views
"Nov 10, 2023",Ratu - Teman Tapi Mesra (Video Clip),ratuVEVO,85M views
"Nov 10, 2023",Ello - Masih Ada (Video Clip),sonymusicIDVEVO,72M views
"Nov 10, 2023",Panah Asmara,Afgan,37M views
"Nov 10, 2023",Yovie & Nuno - Merindu Lagi (Pada Kekasih Orang) (Video Clip),Yovie & Nuno,74M views
"Nov 10, 2023",Derby - Gelora Asmara (Video Clip),sonymusicIDVEVO,22M views
"Nov 9, 2023",The inverse of 3 modulo 7 is?,Anand Kaksha,13K views
"Nov 8, 2023",WOW ‼️Luffy dan Zoro adalah Reinkarnasi Karakter Legenda di Masa Lalu,Anime Nogie ,2.6M views
"Nov 8, 2023",Derby - Gelora Asmara (Video Clip),sonymusicIDVEVO,22M views
"Nov 8, 2023",Probabilitas dan Statistik: 11.2 Regresi Linear dan Kuadrat Terkecil,SVIndonesia Channel,448 views
"Nov 8, 2023",Probabilitas dan Statistik: 11.1 Model Regresi Linear Sederhana,SVIndonesia Channel,572 views
"Nov 7, 2023",Beberapa Tombol Huruf Keyboard Laptop Tidak Berfungsi? Ini Solusinya Dijamin Bisa,Chemix TV,626K views
"Nov 6, 2023",Real Sociedad 0-1 Barcelona | LaLiga 23/24 Match Highlights,beIN SPORTS Indonesia,71K views
"Nov 6, 2023",Derby - Gelora Asmara (Video Clip),sonymusicIDVEVO,22M views
"Nov 5, 2023",Ghost ( Lyrics ) - Justin Bieber,Better Story,73K views
"Nov 5, 2023",Angel Baby ( Lyrics ) - Troye Sivan,Better Story,901K views
"Nov 5, 2023",HIVI! - Siapkah Kau 'Tuk Jatuh Cinta Lagi (Official Lyric Video),HIVI!,218M views
"Nov 5, 2023",Lebih Indah - Adera (Official Video),Adera Ega,153M views
"Nov 5, 2023",Yovie & Nuno - Tanpa Cinta (Video Clip),Yovie & Nuno,89M views
"Nov 5, 2023",Yovie Nuno - Menjaga Hati,sonybmgindonesia,4M views
"Nov 5, 2023",Yovie & Nuno - Janji Suci (Video Clip),sonymusicIDVEVO,108M views
"Nov 5, 2023",Judika - Sampai Kau Jadi Milikku (Video Clip),Judika Entertainment ,37M views
"Nov 5, 2023",Utopia - Hujan | Official 4K Remastered Video,Aquarius Musikindo,72M views
"Nov 5, 2023",Pecinta Wanita,Irwansyah - Topic,16M views
"Nov 5, 2023",Berdua Lebih Baik,Acha Septriasa - Topic,23M views
"Nov 5, 2023",Ketika Cinta Bertasbih (feat. Amee),Melly Goeslaw,8.4M views
"Nov 5, 2023",Gantung,Melly Goeslaw,15M views
"Nov 5, 2023",Ku Bahagia,Melly Goeslaw,7.9M views
"Nov 5, 2023",Rossa - Pudar | Official Music Video,Trinity Optima Production,40M views
"Nov 5, 2023",ST12 - P.U.S.P.A | VC Trinity,Trinity Optima Production,38M views
"Nov 5, 2023",ST12 - Cari Pacar Lagi | VC Trinity,Trinity Optima Production,51M views
"Nov 5, 2023",Armada - Mau Dibawa Kemana (Official Music Video),Emotion Entertainment,34M views
"Nov 5, 2023",Yovie & Nuno - Manusia Biasa (CLB) (Official Music Video),Sony Music Entertainment Indonesia,23M views
"Nov 5, 2023",Yovie & Nuno - Merindu Lagi (Pada Kekasih Orang) (Video Clip),Yovie & Nuno,74M views
"Nov 5, 2023",Dia Milikku,Yovie & Nuno,8.3M views
"Nov 5, 2023",Merindu Lagi (Pada Kekasih Orang),Yovie & Nuno,10M views
"Nov 5, 2023",Cinta Monyet,Goliath - Topic,7.5M views
"Nov 5, 2023",Vierra - Rasa Ini (Official Music Video),Musica Studios,44M views
"Nov 5, 2023",Derby - Gelora Asmara (Video Clip),sonymusicIDVEVO,22M views
"Nov 4, 2023",PACAR RAHASIA,CAPPUCINO - Topic,6.5M views
"Nov 4, 2023",Jikustik - Puisi (Official Video),Muhammad Agus Sopyan,7.5M views
"Nov 4, 2023",Naruto menggabungkan sage mode dengan chakra kyubi full fight,Ayam Gepeng,326K views
"Nov 4, 2023",Naruto vs 5 kage,RB KURAMA,22M views
"Nov 4, 2023",Naruto Perang Dunia Shinobi ke 4 Full HD Movie Bahasa Indonesia,KAF TV,6.9M views
"Nov 4, 2023",382-390 obito vs all shinobi,Bocah Ftv,667K views
"Nov 3, 2023",Keajaiban Teknik yang bernama Terusan Panama,Lesics Indonesian,5.9M views
"Nov 3, 2023",Saya Telah Pergi ke Tempat Terpanas di Dunia (70.7°C) GURUN LUT,Ruhi Çenet,12M views
"Nov 2, 2023",Probabilitas dan Statistik: 11.3 Sifat Estimator Kuadrat Terkecil,SVIndonesia Channel,365 views
"Nov 2, 2023",Probabilitas dan Statistik: 11.2 Regresi Linear dan Kuadrat Terkecil,SVIndonesia Channel,448 views
"Nov 2, 2023",Probabilitas dan Statistik: 11.1 Model Regresi Linear Sederhana,SVIndonesia Channel,572 views
"Nov 2, 2023",Reduction E-R Model to Relational Schema - Extended Feature,Latifa Dwiyanti,1.3K views
"Nov 2, 2023",Reducing E-R Diagrams to Relational Schemas - Latihan Soal,Latifa Dwiyanti,1.5K views
"Nov 2, 2023",Reducing E-R Diagrams to Relational Schemas - Relationship Set,Latifa Dwiyanti,1.3K views
"Nov 2, 2023",Reducing E-R Diagrams to Relational Schemas - Entity & Attributes,Latifa Dwiyanti,1.5K views
"Nov 1, 2023",Invers modulo,Margaretha Madha Melissa,5.4K views
"Nov 1, 2023",Bagaimana Cara Tidur Lebih Nyenyak di Malam Hari ?,SB30Health,1.4M views
"Oct 31, 2023",Vierra - Rasa Ini (Official Music Video),Musica Studios,44M views
"Oct 31, 2023",Matdis 32: Graf (Bagian 1-02: Terminologi di dalam Graf),Matematika Diskrit Informatika ITB,19K views
"Oct 31, 2023",Matdis 30: Graf (Bagian 1-01: Apa itu Graf),Matematika Diskrit Informatika ITB,35K views
"Oct 31, 2023",SURYA KERJAIN DITA SAMPE SEMUANYA NGAKAK BANGET🤣 #suryainsomnia #dita #auraeca #eca #indrajegel,lookatme,12M views
"Oct 30, 2023",Probabilitas dan Statistik: 10.15 Uji Independensi,SVIndonesia Channel,69 views
"Oct 30, 2023",Probabilitas dan Statistik: 10.14 Uji Goodness of Fit Anderson Darling,SVIndonesia Channel,1.1K views
"Oct 30, 2023",Probabilitas dan Statistik: 10.13 Uji Goodness of Fit Kolmogorov Smirnov,SVIndonesia Channel,322 views
"Oct 30, 2023",Probabilitas dan Statistik: 10.12 Uji Goodness of Fit Chi Kuadrat,SVIndonesia Channel,375 views
"Oct 30, 2023",Probabilitas dan Statistik: 10.11 Uji terhadap Dua Proporsi,SVIndonesia Channel,64 views
"Oct 30, 2023",Probabilitas dan Statistik: 10.10 Uji terhadap Satu Proporsi,SVIndonesia Channel,82 views
"Oct 30, 2023",Probabilitas dan Statistik: 10.9 Uji terhadap Dua Mean,SVIndonesia Channel,77 views
"Oct 30, 2023",Probabilitas dan Statistik: 10.8 Uji terhadap Satu Mean,SVIndonesia Channel,83 views
"Oct 30, 2023",Probabilitas dan Statistik: 10.7 P Value,SVIndonesia Channel,105 views
"Oct 30, 2023",Probabilitas dan Statistik: 10.6 Uji Hipotesis Satu Sisi dan Dua Sisi,SVIndonesia Channel,340 views
"Oct 30, 2023",Probabilitas dan Statistik: 10.5 Kekuatan Sebuah Uji,SVIndonesia Channel,96 views
"Oct 30, 2023",Probabilitas dan Statistik: 10.4 Sifat sifat penting pengujian hipotesis,SVIndonesia Channel,119 views
